Book,Chapter,Verse,P,Pg,Ps

Exodus,1,1,1,1,0

Exodus,1,2,1,1,0

Exodus,1,3,1,1,0

Exodus,1,4,1,1,0

Exodus,1,5,1,1,0

Exodus,1,6,0,0,0

Exodus,1,7,1,0,0

Exodus,1,8,0,0,0

Exodus,1,9,0,0,0

Exodus,1,10,0,0,0

Exodus,1,11,0,0,0

Exodus,1,12,0,0,0

Exodus,1,13,1,1,0

Exodus,1,14,1,1,0

Exodus,1,15,0,0,0

Exodus,1,16,0,0,0

Exodus,1,17,0,0,0

Exodus,1,18,0,0,0

Exodus,1,19,0,0,0

Exodus,1,20,0,0,0

Exodus,1,21,0,0,0

Exodus,1,22,0,0,0

Exodus,2,1,0,0,0

Exodus,2,2,0,0,0

Exodus,2,3,0,0,0

Exodus,2,4,0,0,0

Exodus,2,5,0,0,0

Exodus,2,6,0,0,0

Exodus,2,7,0,0,0

Exodus,2,8,0,0,0

Exodus,2,9,0,0,0

Exodus,2,10,0,0,0

Exodus,2,11,0,0,0

Exodus,2,12,0,0,0

Exodus,2,13,0,0,0

Exodus,2,14,0,0,0

Exodus,2,15,0,0,0

Exodus,2,16,0,0,0

Exodus,2,17,0,0,0

Exodus,2,18,0,0,0

Exodus,2,19,0,0,0

Exodus,2,20,0,0,0

Exodus,2,21,0,0,0

Exodus,2,22,0,0,0

Exodus,2,23,0,0,0

Exodus,2,24,1,1,0

Exodus,2,25,1,1,0

Exodus,3,1,0,0,0

Exodus,3,2,0,0,0

Exodus,3,3,0,0,0

Exodus,3,4,0,0,0

Exodus,3,5,0,0,0

Exodus,3,6,0,0,0

Exodus,3,7,0,0,0

Exodus,3,8,0,0,0

Exodus,3,9,0,0,0

Exodus,3,10,0,0,0

Exodus,3,11,0,0,0

Exodus,3,12,0,0,0

Exodus,3,13,0,0,0

Exodus,3,14,0,0,0

Exodus,3,15,0,0,0

Exodus,3,16,0,0,0

Exodus,3,17,0,0,0

Exodus,3,18,0,0,0

Exodus,3,19,0,0,0

Exodus,3,20,0,0,0

Exodus,3,21,0,0,0

Exodus,3,22,0,0,0

Exodus,4,1,0,0,0

Exodus,4,2,0,0,0

Exodus,4,3,0,0,0

Exodus,4,4,0,0,0

Exodus,4,5,0,0,0

Exodus,4,6,0,0,0

Exodus,4,7,0,0,0

Exodus,4,8,0,0,0

Exodus,4,9,0,0,0

Exodus,4,10,0,0,0

Exodus,4,11,0,0,0

Exodus,4,12,0,0,0

Exodus,4,13,0,0,0

Exodus,4,14,0,0,0

Exodus,4,15,0,0,0

Exodus,4,16,0,0,0

Exodus,4,17,0,0,0

Exodus,4,18,0,0,0

Exodus,4,19,0,0,0

Exodus,4,20,0,0,0

Exodus,4,21,0,0,0

Exodus,4,22,0,0,0

Exodus,4,23,0,0,0

Exodus,4,24,0,0,0

Exodus,4,25,0,0,0

Exodus,4,26,0,0,0

Exodus,4,27,0,0,0

Exodus,4,28,0,0,0

Exodus,4,29,0,0,0

Exodus,4,30,0,0,0

Exodus,4,31,0,0,0

Exodus,5,1,0,0,0

Exodus,5,2,0,0,0

Exodus,5,3,0,0,0

Exodus,5,4,0,0,0

Exodus,5,5,0,0,0

Exodus,5,6,0,0,0

Exodus,5,7,0,0,0

Exodus,5,8,0,0,0

Exodus,5,9,0,0,0

Exodus,5,10,0,0,0

Exodus,5,11,0,0,0

Exodus,5,12,0,0,0

Exodus,5,13,0,0,0

Exodus,5,14,0,0,0

Exodus,5,15,0,0,0

Exodus,5,16,0,0,0

Exodus,5,17,0,0,0

Exodus,5,18,0,0,0

Exodus,5,19,0,0,0

Exodus,5,20,0,0,0

Exodus,5,21,0,0,0

Exodus,5,22,0,0,0

Exodus,5,23,0,0,0

Exodus,6,1,0,0,0

Exodus,6,2,1,1,0

Exodus,6,3,1,1,0

Exodus,6,4,1,1,0

Exodus,6,5,1,1,0

Exodus,6,6,1,1,0

Exodus,6,7,1,1,0

Exodus,6,8,1,1,0

Exodus,6,9,1,1,0

Exodus,6,10,1,1,0

Exodus,6,11,1,1,0

Exodus,6,12,1,1,0

Exodus,6,13,1,0,0

Exodus,6,14,1,0,0

Exodus,6,15,1,0,0

Exodus,6,16,1,0,0

Exodus,6,17,1,0,0

Exodus,6,18,1,0,0

Exodus,6,19,1,0,0

Exodus,6,20,1,0,0

Exodus,6,21,1,0,0

Exodus,6,22,1,0,0

Exodus,6,23,1,0,0

Exodus,6,24,1,0,0

Exodus,6,25,1,0,0

Exodus,6,26,1,0,0

Exodus,6,27,1,0,0

Exodus,6,28,1,0,0

Exodus,6,29,1,0,0

Exodus,6,30,1,0,0

Exodus,7,1,1,1,0

Exodus,7,2,1,1,0

Exodus,7,3,1,1,0

Exodus,7,4,1,1,0

Exodus,7,5,1,1,0

Exodus,7,6,1,1,0

Exodus,7,7,1,1,0

Exodus,7,8,1,1,0

Exodus,7,9,1,1,0

Exodus,7,10,1,1,0

Exodus,7,11,1,1,0

Exodus,7,12,1,1,0

Exodus,7,13,1,1,0

Exodus,7,14,0,0,0

Exodus,7,15,0,0,0

Exodus,7,16,0,0,0

Exodus,7,17,0,0,0

Exodus,7,18,0,0,0

