Book,Chapter,Verse,Narrative,P
Genesis,1,1,1,0
Genesis,1,2,1,0
Genesis,1,3,1,0
Genesis,1,4,1,0
Genesis,1,5,1,0
Genesis,1,6,1,0
Genesis,1,7,1,0
Genesis,1,8,1,0
Genesis,1,9,1,0
Genesis,1,10,1,0
Genesis,1,11,1,0
Genesis,1,12,1,0
Genesis,1,13,1,0
Genesis,1,14,1,0
Genesis,1,15,1,0
Genesis,1,16,1,0
Genesis,1,17,1,0
Genesis,1,18,1,0
Genesis,1,19,1,0
Genesis,1,20,1,0
Genesis,1,21,1,0
Genesis,1,22,1,0
Genesis,1,23,1,0
Genesis,1,24,1,0
Genesis,1,25,1,0
Genesis,1,26,1,0
Genesis,1,27,1,0
Genesis,1,28,1,0
Genesis,1,29,1,0
Genesis,1,30,1,0
Genesis,1,31,1,0
Genesis,2,1,1,0
Genesis,2,2,1,0
Genesis,2,3,1,0
Genesis,2,4,1,0
Genesis,2,5,1,0
Genesis,2,6,1,0
Genesis,2,7,1,0
Genesis,2,8,1,0
Genesis,2,9,1,0
Genesis,2,10,1,0
Genesis,2,11,1,0
Genesis,2,12,1,0
Genesis,2,13,1,0
Genesis,2,14,1,0
Genesis,2,15,1,0
Genesis,2,16,1,0
Genesis,2,17,1,0
Genesis,2,18,1,0
Genesis,2,19,1,0
Genesis,2,20,1,0
Genesis,2,21,1,0
Genesis,2,22,1,0
Genesis,2,23,1,0
Genesis,2,24,1,0
Genesis,2,25,1,0
Genesis,3,1,1,0
Genesis,3,2,1,0
Genesis,3,3,1,0
Genesis,3,4,1,0
Genesis,3,5,1,0
Genesis,3,6,1,0
Genesis,3,7,1,0
Genesis,3,8,1,0
Genesis,3,9,1,0
Genesis,3,10,1,0
Genesis,3,11,1,0
Genesis,3,12,1,0
Genesis,3,13,1,0
Genesis,3,14,1,0
Genesis,3,15,1,0
Genesis,3,16,1,0
Genesis,3,17,1,0
Genesis,3,18,1,0
Genesis,3,19,1,0
Genesis,3,20,1,0
Genesis,3,21,1,0
Genesis,3,22,1,0
Genesis,3,23,1,0
Genesis,3,24,1,0
Genesis,4,1,1,0
Genesis,4,2,1,0
Genesis,4,3,1,0
Genesis,4,4,1,0
Genesis,4,5,1,0
Genesis,4,6,1,0
Genesis,4,7,1,0
Genesis,4,8,1,0
Genesis,4,9,1,0
Genesis,4,10,1,0
Genesis,4,11,1,0
Genesis,4,12,1,0
Genesis,4,13,1,0
Genesis,4,14,1,0
Genesis,4,15,1,0
Genesis,4,16,1,0
Genesis,4,17,1,0
Genesis,4,18,1,0
Genesis,4,19,1,0
Genesis,4,20,1,0
Genesis,4,21,1,0
Genesis,4,22,1,0
Genesis,4,23,1,0
Genesis,4,24,1,0
Genesis,4,25,1,0
Genesis,4,26,1,0
Genesis,5,1,0,1
Genesis,5,2,0,1
Genesis,5,3,0,1
Genesis,5,4,0,1
Genesis,5,5,0,1
Genesis,5,6,0,1
Genesis,5,7,0,1
Genesis,5,8,0,1
Genesis,5,9,0,1
Genesis,5,10,0,1
Genesis,5,11,0,1
Genesis,5,12,0,1
Genesis,5,13,0,1
Genesis,5,14,0,1
Genesis,5,15,0,1
Genesis,5,16,0,1
Genesis,5,17,0,1
Genesis,5,18,0,1
Genesis,5,19,0,1
Genesis,5,20,0,1
Genesis,5,21,0,1
Genesis,5,22,0,1
Genesis,5,23,0,1
Genesis,5,24,0,1
Genesis,5,25,0,1
Genesis,5,26,0,1
Genesis,5,27,0,1
Genesis,5,28,0,1
Genesis,5,29,0,1
Genesis,5,30,0,1
Genesis,5,31,0,1
Genesis,5,32,0,1
Genesis,6,1,1,0
Genesis,6,2,1,0
Genesis,6,3,1,0
Genesis,6,4,1,0
Genesis,6,5,1,0
Genesis,6,6,1,0
Genesis,6,7,1,0
Genesis,6,8,1,0
Genesis,6,9,1,0
Genesis,6,10,1,0
Genesis,6,11,1,0
Genesis,6,12,1,0
Genesis,6,13,1,0
Genesis,6,14,1,0
Genesis,6,15,1,0
Genesis,6,16,1,0
Genesis,6,17,1,0
Genesis,6,18,1,0
Genesis,6,19,1,0
Genesis,6,20,1,0
Genesis,6,21,1,0
Genesis,6,22,1,0
Genesis,7,1,1,0
Genesis,7,2,1,0
Genesis,7,3,1,0
Genesis,7,4,1,0
Genesis,7,5,1,0
Genesis,7,6,1,0
Genesis,7,7,1,0
Genesis,7,8,1,0
Genesis,7,9,1,0
Genesis,7,10,1,0
Genesis,7,11,1,0
Genesis,7,12,1,0
Genesis,7,13,1,0
Genesis,7,14,1,0
Genesis,7,15,1,0
Genesis,7,16,1,0
Genesis,7,17,1,0
