Book,Chapter,Verse,P,H
Leviticus,1,1,0,1
Leviticus,1,2,1,0
Leviticus,1,3,1,0
Leviticus,1,4,1,0
Leviticus,1,5,1,0
Leviticus,1,6,1,0
Leviticus,1,7,1,0
Leviticus,1,8,1,0
Leviticus,1,9,1,0
Leviticus,1,10,1,0
Leviticus,1,11,1,0
Leviticus,1,12,1,0
Leviticus,1,13,1,0
Leviticus,1,14,1,0
Leviticus,1,15,1,0
Leviticus,1,16,1,0
Leviticus,1,17,1,0
Leviticus,2,1,1,0
Leviticus,2,2,1,0
Leviticus,2,3,1,0
Leviticus,2,4,1,0
Leviticus,2,5,1,0
Leviticus,2,6,1,0
Leviticus,2,7,1,0
Leviticus,2,8,1,0
Leviticus,2,9,1,0
Leviticus,2,10,1,0
Leviticus,2,11,1,0
Leviticus,2,12,1,0
Leviticus,2,13,1,0
Leviticus,2,14,1,0
Leviticus,2,15,1,0
Leviticus,2,16,1,0
Leviticus,3,1,1,0
Leviticus,3,2,1,0
Leviticus,3,3,1,0
Leviticus,3,4,1,0
Leviticus,3,5,1,0
Leviticus,3,6,1,0
Leviticus,3,7,1,0
Leviticus,3,8,1,0
Leviticus,3,9,1,0
Leviticus,3,10,1,0
Leviticus,3,11,1,0
Leviticus,3,12,1,0
Leviticus,3,13,1,0
Leviticus,3,14,1,0
Leviticus,3,15,1,0
Leviticus,3,16,1,0
Leviticus,3,17,0,1
Leviticus,4,1,1,0
Leviticus,4,2,1,0
Leviticus,4,3,1,0
Leviticus,4,4,1,0
Leviticus,4,5,1,0
Leviticus,4,6,1,0
Leviticus,4,7,1,0
Leviticus,4,8,1,0
Leviticus,4,9,1,0
Leviticus,4,10,1,0
Leviticus,4,11,1,0
Leviticus,4,12,1,0
Leviticus,4,13,1,0
Leviticus,4,14,1,0
Leviticus,4,15,1,0
Leviticus,4,16,1,0
Leviticus,4,17,1,0
Leviticus,4,18,1,0
Leviticus,4,19,1,0
Leviticus,4,20,1,0
Leviticus,4,21,1,0
Leviticus,4,22,1,0
Leviticus,4,23,1,0
Leviticus,4,24,1,0
Leviticus,4,25,1,0
Leviticus,4,26,1,0
Leviticus,4,27,1,0
Leviticus,4,28,1,0
Leviticus,4,29,1,0
Leviticus,4,30,1,0
Leviticus,4,31,1,0
Leviticus,4,31,1,0
Leviticus,4,33,1,0
Leviticus,4,34,1,0
Leviticus,4,35,1,0
Leviticus,5,1,1,0
Leviticus,5,2,1,0
Leviticus,5,3,1,0
Leviticus,5,4,1,0
Leviticus,5,5,1,0
Leviticus,5,6,1,0
Leviticus,5,7,1,0
Leviticus,5,8,1,0
Leviticus,5,9,1,0
Leviticus,5,10,1,0
Leviticus,5,11,1,0
Leviticus,5,12,1,0
Leviticus,5,13,1,0
Leviticus,5,14,1,0
Leviticus,5,15,1,0
Leviticus,5,16,1,0
Leviticus,5,17,1,0
Leviticus,5,18,1,0
Leviticus,5,19,1,0
Leviticus,5,20,1,0
Leviticus,5,21,1,0
Leviticus,5,22,1,0
Leviticus,5,23,1,0
Leviticus,5,24,1,0
Leviticus,5,25,1,0
Leviticus,5,26,1,0
Leviticus,6,1,1,0
Leviticus,6,2,1,0
Leviticus,6,3,1,0
Leviticus,6,4,1,0
Leviticus,6,5,1,0
Leviticus,6,6,1,0
Leviticus,6,7,1,0
Leviticus,6,8,1,0
Leviticus,6,9,1,0
Leviticus,6,10,0,1
Leviticus,6,11,0,1
Leviticus,6,12,1,0
Leviticus,6,13,1,0
Leviticus,6,14,1,0
Leviticus,6,15,1,0
Leviticus,6,16,1,0
Leviticus,6,17,1,0
Leviticus,6,18,1,0
Leviticus,6,19,1,0
Leviticus,6,20,1,0
Leviticus,6,21,1,0
Leviticus,6,22,1,0
Leviticus,6,23,1,0
Leviticus,7,1,1,0
Leviticus,7,2,1,0
Leviticus,7,3,1,0
Leviticus,7,4,1,0
Leviticus,7,5,1,0
Leviticus,7,6,1,0
Leviticus,7,7,1,0
Leviticus,7,8,1,0
Leviticus,7,9,1,0
Leviticus,7,10,1,0
Leviticus,7,11,1,0
Leviticus,7,12,1,0
Leviticus,7,13,1,0
Leviticus,7,14,1,0
Leviticus,7,15,1,0
Leviticus,7,16,1,0
Leviticus,7,17,1,0
Leviticus,7,18,1,0
Leviticus,7,19,0,1
Leviticus,7,20,1,0
Leviticus,7,21,1,0
Leviticus,7,22,0,1
Leviticus,7,23,0,1
Leviticus,7,24,0,1
Leviticus,7,25,0,1
Leviticus,7,26,0,1
Leviticus,7,27,0,1
Leviticus,7,28,0,1
Leviticus,7,29,0,1
Leviticus,7,30,0,1
Leviticus,7,31,0,1
Leviticus,7,32,0,1
Leviticus,7,33,0,1
Leviticus,7,34,0,1
Leviticus,7,35,0,1
Leviticus,7,36,0,1
Leviticus,7,37,1,0
Leviticus,7,38,1,0
Leviticus,8,1,1,0
Leviticus,8,2,1,0
Leviticus,8,3,1,0
Leviticus,8,4,1,0
Leviticus,8,5,1,0
Leviticus,8,6,1,0
Leviticus,8,7,1,0
Leviticus,8,8,1,0
Leviticus,8,9,1,0
Leviticus,8,10,1,0
Leviticus,8,11,1,0
Leviticus,8,12,1,0
Leviticus,8,13,1,0
Leviticus,8,14,1,0
Leviticus,8,15,1,0
Leviticus,8,16,1,0
Leviticus,8,17,1,0
Leviticus,8,18,1,0
Leviticus,8,19,1,0
Leviticus,8,20,1,0
Leviticus,8,21,1,0
Leviticus,8,22,1,0
Leviticus,8,23,1,0
Leviticus,8,24,1,0
Leviticus,8,25,1,0
Leviticus,8,26,1,0
Leviticus,8,27,1,0
Leviticus,8,28,1,0
Leviticus,8,29,1,0
Leviticus,8,30,1,0
Leviticus,8,31,1,0
Leviticus,8,32,1,0
Leviticus,8,33,1,0
Leviticus,8,34,1,0
Leviticus,8,35,1,0
Leviticus,8,36,1,0
Leviticus,9,1,1,0
Leviticus,9,2,1,0
Leviticus,9,3,1,0
Leviticus,9,4,1,0
Leviticus,9,5,1,0
Leviticus,9,6,1,0
Leviticus,9,7,1,0
Leviticus,9,8,1,0
Leviticus,9,9,1,0
Leviticus,9,10,1,0
Leviticus,9,11,1,0
Leviticus,9,12,1,0
Leviticus,9,13,1,0
Leviticus,9,14,1,0
Leviticus,9,15,1,0
Leviticus,9,16,1,0
Leviticus,9,17,0,1
Leviticus,9,18,1,0
Leviticus,9,19,1,0
Leviticus,9,20,1,0
Leviticus,9,21,1,0
Leviticus,9,22,1,0
Leviticus,9,23,1,0
Leviticus,9,24,1,0
Leviticus,10,1,1,0
Leviticus,10,2,1,0
Leviticus,10,3,1,0
Leviticus,10,4,1,0
Leviticus,10,5,1,0
Leviticus,10,6,0,1
Leviticus,10,7,0,1
Leviticus,10,8,0,1
Leviticus,10,9,0,1
Leviticus,10,10,0,1
Leviticus,10,11,0,1
Leviticus,10,12,1,0
Leviticus,10,13,1,0
Leviticus,10,14,1,0
Leviticus,10,15,1,0
Leviticus,10,16,1,0
Leviticus,10,17,1,0
Leviticus,10,18,1,0
Leviticus,10,19,1,0
Leviticus,10,20,1,0
Leviticus,11,1,1,0
Leviticus,11,2,1,0
Leviticus,11,3,1,0
Leviticus,11,4,1,0
Leviticus,11,5,1,0
Leviticus,11,6,1,0
Leviticus,11,7,1,0
Leviticus,11,8,1,0
Leviticus,11,9,1,0
Leviticus,11,10,1,0
Leviticus,11,11,1,0
Leviticus,11,12,1,0
Leviticus,11,13,1,0
Leviticus,11,14,1,0
Leviticus,11,15,1,0
Leviticus,11,16,1,0
Leviticus,11,17,1,0
Leviticus,11,18,1,0
Leviticus,11,19,1,0
Leviticus,11,20,1,0
Leviticus,11,21,1,0
Leviticus,11,22,1,0
Leviticus,11,23,1,0
Leviticus,11,24,1,0
Leviticus,11,25,1,0
Leviticus,11,26,1,0
Leviticus,11,27,1,0
Leviticus,11,28,1,0
Leviticus,11,29,1,0
Leviticus,11,30,1,0
Leviticus,11,31,1,0
Leviticus,11,32,1,0
Leviticus,11,33,1,0
Leviticus,11,34,1,0
Leviticus,11,35,1,0
Leviticus,11,36,1,0
Leviticus,11,37,1,0
Leviticus,11,38,1,0
Leviticus,11,39,1,0
Leviticus,11,40,1,0
Leviticus,11,41,1,0
Leviticus,11,42,1,0
Leviticus,11,43,0,1
Leviticus,11,44,0,1
Leviticus,11,45,0,1
Leviticus,11,46,1,0
Leviticus,11,47,1,0
Leviticus,12,1,1,0
Leviticus,12,2,1,0
Leviticus,12,3,1,0
Leviticus,12,4,1,0
Leviticus,12,5,1,0
Leviticus,12,6,1,0
Leviticus,12,7,1,0
Leviticus,12,8,1,0
Leviticus,13,1,1,0
Leviticus,13,2,1,0
Leviticus,13,3,1,0
Leviticus,13,4,1,0
Leviticus,13,5,1,0
Leviticus,13,6,1,0
Leviticus,13,7,1,0
Leviticus,13,8,1,0
Leviticus,13,9,1,0
Leviticus,13,10,1,0
Leviticus,13,11,1,0
Leviticus,13,12,1,0
Leviticus,13,13,1,0
Leviticus,13,14,1,0
Leviticus,13,15,1,0
Leviticus,13,16,1,0
Leviticus,13,17,1,0
Leviticus,13,18,1,0
Leviticus,13,19,1,0
Leviticus,13,20,1,0
Leviticus,13,21,1,0
Leviticus,13,22,1,0
Leviticus,13,23,1,0
Leviticus,13,24,1,0
Leviticus,13,25,1,0
Leviticus,13,26,1,0
Leviticus,13,27,1,0
Leviticus,13,28,1,0
Leviticus,13,29,1,0
Leviticus,13,30,1,0
Leviticus,13,31,1,0
Leviticus,13,32,1,0
Leviticus,13,33,1,0
Leviticus,13,34,1,0
Leviticus,13,35,1,0
Leviticus,13,36,1,0
Leviticus,13,37,1,0
Leviticus,13,38,1,0
Leviticus,13,39,1,0
Leviticus,13,40,1,0
Leviticus,13,41,1,0
Leviticus,13,42,1,0
Leviticus,13,43,1,0
Leviticus,13,44,1,0
Leviticus,13,45,1,0
Leviticus,13,46,1,0
Leviticus,13,47,1,0
Leviticus,13,48,1,0
Leviticus,13,49,1,0
Leviticus,13,50,1,0
Leviticus,13,51,1,0
Leviticus,13,52,1,0
Leviticus,13,53,1,0
Leviticus,13,54,1,0
Leviticus,13,55,1,0
Leviticus,13,56,1,0
Leviticus,13,57,1,0
Leviticus,13,58,1,0
Leviticus,13,59,1,0
Leviticus,14,1,1,0
Leviticus,14,2,1,0
Leviticus,14,3,1,0
Leviticus,14,4,1,0
Leviticus,14,5,1,0
Leviticus,14,6,1,0
Leviticus,14,7,1,0
Leviticus,14,8,1,0
Leviticus,14,9,1,0
Leviticus,14,10,1,0
Leviticus,14,11,1,0
Leviticus,14,12,1,0
Leviticus,14,13,1,0
Leviticus,14,14,1,0
Leviticus,14,15,1,0
Leviticus,14,16,1,0
Leviticus,14,17,1,0
Leviticus,14,18,1,0
Leviticus,14,19,1,0
Leviticus,14,20,1,0
Leviticus,14,21,1,0
Leviticus,14,22,1,0
Leviticus,14,23,1,0
Leviticus,14,24,1,0
Leviticus,14,25,1,0
Leviticus,14,26,1,0
Leviticus,14,27,1,0
Leviticus,14,28,1,0
Leviticus,14,29,1,0
Leviticus,14,30,1,0
Leviticus,14,31,1,0
Leviticus,14,32,1,0
Leviticus,14,33,1,0
Leviticus,14,34,0,1
Leviticus,14,35,1,0
Leviticus,14,36,1,0
Leviticus,14,37,1,0
Leviticus,14,38,1,0
Leviticus,14,39,1,0
Leviticus,14,40,1,0
Leviticus,14,41,1,0
Leviticus,14,42,1,0
Leviticus,14,43,1,0
Leviticus,14,44,1,0
Leviticus,14,45,1,0
Leviticus,14,46,1,0
Leviticus,14,47,1,0
Leviticus,14,48,1,0
Leviticus,14,49,1,0
Leviticus,14,50,1,0
Leviticus,14,51,1,0
Leviticus,14,52,1,0
Leviticus,14,53,1,0
Leviticus,14,54,1,0
Leviticus,14,55,1,0
Leviticus,14,56,1,0
Leviticus,14,57,1,0
Leviticus,15,1,1,0
Leviticus,15,2,1,0
Leviticus,15,3,1,0
Leviticus,15,4,1,0
Leviticus,15,5,1,0
Leviticus,15,6,1,0
Leviticus,15,7,1,0
Leviticus,15,8,1,0
Leviticus,15,9,1,0
Leviticus,15,10,1,0
Leviticus,15,11,1,0
Leviticus,15,12,1,0
Leviticus,15,13,1,0
Leviticus,15,14,1,0
Leviticus,15,15,1,0
Leviticus,15,16,1,0
Leviticus,15,17,1,0
Leviticus,15,18,1,0
Leviticus,15,19,1,0
Leviticus,15,20,1,0
Leviticus,15,21,1,0
Leviticus,15,22,1,0
Leviticus,15,23,1,0
Leviticus,15,24,1,0
Leviticus,15,25,1,0
Leviticus,15,26,1,0
Leviticus,15,27,1,0
Leviticus,15,28,1,0
Leviticus,15,29,1,0
Leviticus,15,30,1,0
Leviticus,15,31,0,1
Leviticus,15,32,1,0
Leviticus,15,33,1,0
Leviticus,16,1,1,0
Leviticus,16,2,1,0
Leviticus,16,3,1,0
Leviticus,16,4,1,0
Leviticus,16,5,1,0
Leviticus,16,6,1,0
Leviticus,16,7,1,0
Leviticus,16,8,1,0
Leviticus,16,9,1,0
Leviticus,16,10,1,0
Leviticus,16,11,1,0
Leviticus,16,12,1,0
Leviticus,16,13,1,0
Leviticus,16,14,1,0
Leviticus,16,15,1,0
Leviticus,16,16,1,0
Leviticus,16,17,1,0
Leviticus,16,18,1,0
Leviticus,16,19,1,0
Leviticus,16,20,1,0
Leviticus,16,21,1,0
Leviticus,16,22,1,0
Leviticus,16,23,1,0
Leviticus,16,24,1,0
Leviticus,16,25,1,0
Leviticus,16,26,1,0
Leviticus,16,27,1,0
Leviticus,16,28,1,0
Leviticus,16,29,0,1
Leviticus,16,30,0,1
Leviticus,16,31,0,1
Leviticus,16,32,0,1
Leviticus,16,33,0,1
Leviticus,16,34,0,1
Leviticus,17,1,0,1
Leviticus,17,2,0,1
Leviticus,17,3,0,1
Leviticus,17,4,0,1
Leviticus,17,5,0,1
Leviticus,17,6,0,1
Leviticus,17,7,0,1
Leviticus,17,8,0,1
Leviticus,17,9,0,1
Leviticus,17,10,0,1
Leviticus,17,11,0,1
Leviticus,17,12,0,1
Leviticus,17,13,0,1
Leviticus,17,14,0,1
Leviticus,17,15,0,1
Leviticus,17,16,0,1
Leviticus,18,1,0,1
Leviticus,18,2,0,1
Leviticus,18,3,0,1
Leviticus,18,4,0,1
Leviticus,18,5,0,1
Leviticus,18,6,0,1
Leviticus,18,7,0,1
Leviticus,18,8,0,1
Leviticus,18,9,0,1
Leviticus,18,10,0,1
Leviticus,18,11,0,1
Leviticus,18,12,0,1
Leviticus,18,13,0,1
Leviticus,18,14,0,1
Leviticus,18,15,0,1
Leviticus,18,16,0,1
Leviticus,18,17,0,1
Leviticus,18,18,0,1
Leviticus,18,19,0,1
Leviticus,18,20,0,1
Leviticus,18,21,0,1
Leviticus,18,22,0,1
Leviticus,18,23,0,1
Leviticus,18,24,0,1
Leviticus,18,25,0,1
Leviticus,18,26,0,1
Leviticus,18,27,0,1
Leviticus,18,28,0,1
Leviticus,18,29,0,1
Leviticus,18,30,0,1
Leviticus,19,1,0,1
Leviticus,19,2,0,1
Leviticus,19,3,0,1
Leviticus,19,4,0,1
Leviticus,19,5,0,1
Leviticus,19,6,0,1
Leviticus,19,7,0,1
Leviticus,19,8,0,1
Leviticus,19,9,0,1
Leviticus,19,10,0,1
Leviticus,19,11,0,1
Leviticus,19,12,0,1
Leviticus,19,13,0,1
Leviticus,19,14,0,1
Leviticus,19,15,0,1
Leviticus,19,16,0,1
Leviticus,19,17,0,1
Leviticus,19,18,0,1
Leviticus,19,19,0,1
Leviticus,19,20,0,1
Leviticus,19,21,0,1
Leviticus,19,22,0,1
Leviticus,19,23,0,1
Leviticus,19,24,0,1
Leviticus,19,25,0,1
Leviticus,19,26,0,1
Leviticus,19,27,0,1
Leviticus,19,28,0,1
Leviticus,19,29,0,1
Leviticus,19,30,0,1
Leviticus,19,31,0,1
Leviticus,19,32,0,1
Leviticus,19,33,0,1
Leviticus,19,34,0,1
Leviticus,19,35,0,1
Leviticus,19,36,0,1
Leviticus,19,37,0,1
Leviticus,20,1,0,1
Leviticus,20,2,0,1
Leviticus,20,3,0,1
Leviticus,20,4,0,1
Leviticus,20,5,0,1
Leviticus,20,6,0,1
Leviticus,20,7,0,1
Leviticus,20,8,0,1
Leviticus,20,9,0,1
Leviticus,20,10,0,1
Leviticus,20,11,0,1
Leviticus,20,12,0,1
Leviticus,20,13,0,1
Leviticus,20,14,0,1
