index,panel,dimensions,p,p_form,fraction,method,mean,std,count
0,1,200,0.1,0.2,0.1,Cross-Entropy,55.78600507221195,4.2766092214570595,100
1,1,200,0.1,0.2,0.1,DBSCAN,50.0,0.0,100
2,1,200,0.1,0.2,0.1,GMM,54.970522155767085,3.340250633318474,100
3,1,200,0.1,0.2,0.1,K-means,56.76042622546346,5.394391794024465,100
4,1,200,0.1,0.2,0.2,Cross-Entropy,60.050732020399664,7.561012458867467,100
5,1,200,0.1,0.2,0.2,DBSCAN,50.0,0.0,100
6,1,200,0.1,0.2,0.2,GMM,55.568702529970366,4.12675159557864,100
7,1,200,0.1,0.2,0.2,K-means,59.52527754214958,6.3083152415629336,100
8,1,200,0.1,0.2,0.3,Cross-Entropy,68.06822069463674,9.734861662856952,100
9,1,200,0.1,0.2,0.3,DBSCAN,50.0,0.0,100
10,1,200,0.1,0.2,0.3,GMM,57.03603694453665,4.72818712039535,100
11,1,200,0.1,0.2,0.3,K-means,63.951214740084836,6.351532899026025,100
12,1,200,0.1,0.2,0.4,Cross-Entropy,77.17056378575177,9.499344536989922,100
13,1,200,0.1,0.2,0.4,DBSCAN,50.0,0.0,100
14,1,200,0.1,0.2,0.4,GMM,57.77380716218951,5.2459460431958025,100
15,1,200,0.1,0.2,0.4,K-means,67.66813292930674,6.180510102841169,100
16,1,200,0.1,0.2,0.5,Cross-Entropy,84.41437613889748,6.545515976976652,100
17,1,200,0.1,0.2,0.5,DBSCAN,50.0,0.0,100
18,1,200,0.1,0.2,0.5,GMM,57.38730575243884,5.186483997103381,100
19,1,200,0.1,0.2,0.5,K-means,70.79013138667337,6.493125558812586,100
20,1,200,0.1,0.2,0.6,Cross-Entropy,89.82851858047512,2.918072920465333,100
21,1,200,0.1,0.2,0.6,DBSCAN,50.0,0.0,100
22,1,200,0.1,0.2,0.6,GMM,58.81006477469327,5.6063552441595155,100
23,1,200,0.1,0.2,0.6,K-means,72.50914613187138,5.755008421370477,100
24,1,200,0.1,0.2,0.7,Cross-Entropy,92.96052679998576,2.5200288128956965,100
25,1,200,0.1,0.2,0.7,DBSCAN,50.0,0.0,100
26,1,200,0.1,0.2,0.7,GMM,57.95756251155052,4.8832792978515025,100
27,1,200,0.1,0.2,0.7,K-means,76.49086118287178,5.6662825057722035,100
28,1,200,0.1,0.2,0.8,Cross-Entropy,94.60041705399286,2.4333234855767967,100
29,1,200,0.1,0.2,0.8,DBSCAN,50.0,0.0,100
30,1,200,0.1,0.2,0.8,GMM,59.67982069104641,7.1257864022937065,100
31,1,200,0.1,0.2,0.8,K-means,77.35527886333091,5.982148467388396,100
32,1,200,0.1,0.2,0.9,Cross-Entropy,96.5078085660155,2.1912831950074407,100
33,1,200,0.1,0.2,0.9,DBSCAN,50.0,0.0,100
34,1,200,0.1,0.2,0.9,GMM,58.92916301765569,7.922795739818454,100
35,1,200,0.1,0.2,0.9,K-means,80.13790860344602,5.281866383825627,100
36,2,200,0.05,0.15,0.1,Cross-Entropy,58.01670403515018,5.308819827189698,100
37,2,200,0.05,0.15,0.1,DBSCAN,50.0,0.0,100
38,2,200,0.05,0.15,0.1,GMM,55.54144033654907,4.245243259281892,100
39,2,200,0.05,0.15,0.1,K-means,61.95750052926682,5.412386972109985,100
40,2,200,0.05,0.15,0.2,Cross-Entropy,64.94018968621421,9.095091935970908,100
