dimension,coefficient,samples_per_class,noise,method,mean,std,count
10,2,20,0.0,$L_2$ Norm,75.75150363429918,10.822984177338444,100
10,2,20,0.0,CEC,57.6164401279779,6.770063576839694,100
10,2,20,0.0,Differential Entropy,,,0
10,2,20,0.0,Gaussian Mixture,59.990406060524684,7.005122385077365,100
10,2,20,0.0,Reg. EM,58.23783814321206,6.037983590382785,100
10,2,20,0.0,Self-Information,76.1011350342377,6.342964945108999,100
10,2,20,0.1,$L_2$ Norm,73.40699515602657,8.089186640492821,100
10,2,20,0.1,CEC,57.59699420568863,5.263685729639708,100
10,2,20,0.1,Differential Entropy,,,0
10,2,20,0.1,Gaussian Mixture,58.861793932636054,5.763205060156752,100
10,2,20,0.1,Reg. EM,58.262861727055345,5.872138312223261,100
10,2,20,0.1,Self-Information,72.96252903671761,6.696835642389377,100
10,2,20,0.2,$L_2$ Norm,69.95693477130297,8.519145135876736,100
10,2,20,0.2,CEC,57.21220365703059,4.749597137761735,100
10,2,20,0.2,Differential Entropy,,,0
10,2,20,0.2,Gaussian Mixture,58.51388714919919,6.789890265436016,100
10,2,20,0.2,Reg. EM,56.99468441500579,5.932577958267308,100
10,2,20,0.2,Self-Information,72.09308715147314,6.5375434806742065,100
10,2,20,0.5,$L_2$ Norm,63.679161054645945,7.7151243275074295,100
10,2,20,0.5,CEC,57.26200500323805,5.325181235548833,100
10,2,20,0.5,Differential Entropy,,,0
10,2,20,0.5,Gaussian Mixture,56.98338932898267,5.3164377391263615,100
10,2,20,0.5,Reg. EM,57.38300703723472,5.8263771500638954,100
10,2,20,0.5,Self-Information,65.97447075773061,6.900563637297055,100
10,2,20,0.7,$L_2$ Norm,59.690826816349755,6.80927387044158,100
10,2,20,0.7,CEC,56.1995862954572,5.170704863503548,100
10,2,20,0.7,Differential Entropy,,,0
10,2,20,0.7,Gaussian Mixture,57.03944393919262,5.70801174741082,100
10,2,20,0.7,Reg. EM,56.46949726487212,4.94845752810114,100
10,2,20,0.7,Self-Information,60.69867001496351,6.826034231120358,100
10,2,20,0.9,$L_2$ Norm,56.150033491464676,5.379913526785084,100
10,2,20,0.9,CEC,56.61522510904161,4.7171853119962766,100
10,2,20,0.9,Differential Entropy,,,0
10,2,20,0.9,Gaussian Mixture,56.56569293454649,5.209713032673244,100
10,2,20,0.9,Reg. EM,56.31419837293319,5.035424101506818,100
10,2,20,0.9,Self-Information,56.9026474874717,5.171633927768455,100
10,10,100,0.0,$L_2$ Norm,72.53290169294641,5.50525417489286,100
10,10,100,0.0,CEC,65.74368792222528,8.406992198990224,100
10,10,100,0.0,Differential Entropy,,,0
10,10,100,0.0,Gaussian Mixture,67.6379289456787,6.744410686715114,100
10,10,100,0.0,Reg. EM,64.4485222473066,7.918189295342456,100
10,10,100,0.0,Self-Information,72.99269129118952,2.543834837691148,100
10,10,100,0.1,$L_2$ Norm,71.44189833040343,5.963274653051909,100
10,10,100,0.1,CEC,64.54282843737225,8.41495252861863,100
10,10,100,0.1,Differential Entropy,,,0
10,10,100,0.1,Gaussian Mixture,60.46354621343511,7.3179512527982595,100
10,10,100,0.1,Reg. EM,63.574016176446776,6.410067310257876,100
10,10,100,0.1,Self-Information,71.36093680817554,2.7874658808870536,100
10,10,100,0.2,$L_2$ Norm,70.14600333158232,4.826570355924369,100
10,10,100,0.2,CEC,60.943772260984986,7.64091246399571,100
10,10,100,0.2,Differential Entropy,,,0
10,10,100,0.2,Gaussian Mixture,60.564150323947594,7.02833800630023,100
10,10,100,0.2,Reg. EM,62.50506113597593,6.292913697206297,100
10,10,100,0.2,Self-Information,70.03986246005552,2.974064900837106,100
10,10,100,0.5,$L_2$ Norm,63.514899347028475,3.9174383862781013,100
